At1,At2,prediction
1.14,-0.114,0
-1.52,-1.15,0
-1.05,0.72,0
-0.916,0.397,0
-1.09,0.437,0
-0.584,0.0937,0
1.83,0.452,0
-1.25,-0.286,0
1.7,1.21,0
-0.482,-0.485,0
1.79,-0.459,0
-0.122,-0.808,0
0.0809,1.93,0
-0.541,-0.332,0
-1.02,0.619,0
-0.768,-1.04,0
-1.69,-0.0461,0
1.26,1.21,0
0.724,0.989,0
0.444,1.99,0
-1.01,-1.36,0
-0.863,0.496,0
1.16,-0.458,0
-0.595,-0.651,0
-0.77,0.364,0
-0.871,-0.825,0
0.996,-1.7,0
1.28,0.691,0
0.925,0.895,0
-0.687,-1.29,0
1.74,0.964,0
1.18,-0.335,0
2.52,1.43,0
1.71,-0.044,0
0.271,-0.591,0
1.12,0.626,0
1.3,0.196,0
-1.59,-0.68,0
0.408,0.0673,0
1.13,1.48,0
0.763,0.921,0
-1.41,1.11,0
-0.75,-0.881,0
1.16,0.978,0
1.13,0.405,0
-0.522,-1.34,0
-1.41,0.894,0
0.00902,-0.434,0
-2.14,-1.43,0
-1.31,1.25,0
0.041,-1.13,0
0.0483,0.866,0
-2.11,0.193,0
0.522,1.46,0
0.0284,1.62,0
0.396,-0.606,0
0.536,0.921,0
0.315,-0.182,0
-0.123,-1.07,0
0.526,1.48,0
0.00665,0.0118,0
-0.352,-0.49,0
-0.0701,-1.23,0
-0.149,-1.2,0
0.785,0.0481,0
-1.62,0.593,0
-0.0314,-1.01,0
-0.285,-1.1,0
1.33,1.51,0
1.09,-1.37,0
-0.223,-1.28,0
-0.0341,-1.07,0
1.22,1.13,0
-1.67,-1.26,0
1.97,-0.772,0
-0.508,-0.715,0
0.603,-0.108,0
-0.323,-0.213,0
-0.124,-1.12,0
-0.439,-0.961,0
0.201,0.0024,0
0.812,0.708,0
0.888,0.817,0
0.0238,0.0836,0
0.415,-1,0
-0.308,2.19,0
0.767,-0.248,0
1.23,-1.2,0
1.33,1.63,0
0.27,0.0491,0
-1.69,-1.87,0
0.495,-0.281,0
-0.519,-0.799,0
-1.99,0.549,0
1.36,-0.732,0
-1.03,0.654,0
0.431,-1.33,0
-0.0583,-1.15,0
-0.209,0.345,0
1.26,-1.37,0
-1.78,-0.378,0
0.98,-0.0439,0
-0.0536,1.6,0
-1.39,-0.451,0
1.22,-0.361,0
1.22,0.561,0
-0.838,0.356,0
-0.446,-0.861,0
1.17,-1.39,0
-0.0868,-1.33,0
-1.12,0.576,0
-0.28,-1.3,0
-0.0269,0.958,0
-0.697,1.35,0
1.38,-1.74,0
0.408,1.16,0
1.2,1.54,0
2.07,1.02,0
-0.462,-0.187,0
1.27,0.589,0
-0.101,-0.765,0
-0.819,1.26,0
0.615,-0.0228,0
-1.79,-0.98,0
-1.79,-0.954,0
0.826,1.5,0
0.845,0.766,0
-0.476,-1.49,0
1.01,0.48,0
1.39,-0.376,0
