0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,prediction
3,24,2,1,5433,4,0,2,1,0,4,1,26,2,0,1,3,1,1,0,1
3,9,2,4,2753,1,4,3,2,1,4,2,35,2,1,1,2,1,1,0,1
0,6,4,0,3676,0,2,1,2,0,3,0,37,2,0,3,2,2,0,0,1
1,12,4,0,3124,0,1,1,2,0,3,0,49,0,1,2,1,2,0,0,1
3,15,2,1,3029,0,3,2,2,0,2,2,33,2,1,1,2,1,0,0,1
0,24,4,9,1382,1,3,4,2,0,1,0,26,2,1,2,2,1,1,0,1
0,11,4,0,3905,0,2,2,2,0,2,0,36,2,0,2,2,2,0,0,1
1,24,2,4,5084,4,4,2,1,0,4,2,42,2,1,1,2,1,1,0,1
0,12,2,3,2577,0,2,2,0,0,1,2,42,2,1,1,2,1,0,0,1
2,30,4,4,3656,4,4,4,2,0,4,1,49,1,1,2,1,1,0,0,1
3,24,4,3,5150,0,4,4,2,0,4,2,33,2,1,1,2,1,1,0,1
3,28,1,1,7824,4,1,3,2,2,4,0,40,0,0,2,2,2,1,0,1
3,18,2,9,1950,0,3,4,2,0,1,2,34,1,1,2,2,1,1,0,1
1,12,2,0,7472,4,0,1,1,0,2,0,24,2,0,1,0,1,0,0,1
2,6,3,4,683,0,1,2,1,0,1,1,29,0,1,1,2,1,0,0,1
2,36,2,4,5848,0,2,4,2,0,1,2,24,2,1,1,2,1,0,0,1
0,6,4,4,1957,0,3,1,1,0,4,2,31,2,1,1,2,1,0,0,1
0,12,3,0,1344,0,2,4,2,0,2,0,43,2,1,2,1,2,0,0,1
3,36,2,9,5742,1,3,2,2,0,2,2,31,2,1,2,2,1,1,0,1
1,18,2,4,3213,2,1,1,3,0,3,0,25,2,0,1,2,1,0,0,1
3,48,3,4,7238,4,4,3,2,0,3,2,32,0,1,2,2,2,0,0,1
3,15,1,4,1569,1,4,4,2,0,4,2,34,0,1,1,1,2,0,0,1
3,9,4,4,3074,4,2,1,2,0,2,0,33,2,1,2,2,2,0,0,1
3,24,2,4,1552,0,3,3,2,0,1,2,32,0,1,1,2,2,0,0,1
3,4,4,4,1544,0,3,2,2,0,1,0,42,2,1,3,1,2,0,0,1
3,24,3,0,717,4,4,4,3,0,4,2,54,2,1,2,2,1,1,0,1
