0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,prediction
7,69,17,100,30,70,20,33,0,2,25,0,62,2,100,7,2
11,75,26,100,46,81,28,46,0,17,21,19,59,0,100,11,2
39,81,58,100,83,67,70,30,33,0,0,8,50,23,100,3,2
37,78,60,100,81,75,63,46,29,24,0,1,50,0,100,4,2
0,82,35,100,74,97,68,64,40,37,18,15,58,6,100,0,2
0,69,37,96,100,100,100,65,68,34,20,9,32,0,97,1,2
15,74,39,100,69,81,42,46,0,20,20,22,61,0,100,15,2
31,76,62,100,89,82,61,52,24,26,0,10,50,7,100,0,2
0,77,20,100,50,86,34,51,6,23,20,7,60,4,100,0,2
0,70,19,100,43,77,36,44,13,15,11,15,57,14,100,0,2
0,80,38,100,50,70,30,37,0,8,3,3,52,5,100,0,2
10,81,44,100,57,74,32,42,0,16,16,5,58,4,100,0,2
0,81,27,100,58,90,45,58,25,30,23,0,61,2,100,6,2
65,82,93,100,93,71,69,44,36,20,0,0,48,12,100,16,2
0,63,36,100,81,93,66,44,30,5,0,0,47,19,100,10,2
14,88,62,100,97,86,70,62,34,42,0,20,45,6,100,0,2
0,74,16,100,35,79,20,48,1,18,19,0,60,2,100,11,2
0,69,29,100,49,75,33,36,3,4,9,14,54,6,100,0,2
0,75,19,99,57,100,66,73,56,46,38,20,55,2,100,0,2
0,79,47,96,100,100,80,74,39,51,5,26,25,4,82,0,2
55,66,51,100,86,87,63,42,25,9,0,4,50,8,100,0,2
14,77,34,100,52,74,30,41,0,13,25,5,66,0,100,23,2
42,83,54,100,50,64,28,33,0,13,34,0,70,1,100,23,2
38,67,50,100,73,67,41,26,0,2,9,12,54,1,100,0,2
4,68,28,98,75,100,64,65,31,36,0,8,43,0,100,6,2
40,80,63,100,100,91,84,67,52,46,18,28,0,6,47,0,2
32,65,44,100,89,80,81,39,46,5,0,1,48,24,100,0,2
1,73,29,100,74,97,56,63,21,34,0,4,50,0,100,0,2
23,72,44,100,73,86,51,50,19,20,0,8,50,0,100,11,2
26,88,49,100,56,74,32,45,0,21,24,5,67,0,100,23,2
42,67,69,100,79,59,47,22,2,0,0,16,50,24,100,19,2
57,56,37,92,88,100,94,63,51,34,0,12,41,4,100,0,2
0,81,34,100,68,83,56,52,24,29,16,20,64,17,100,0,2
32,84,66,100,70,57,40,25,0,15,23,33,63,22,100,0,2
0,69,27,95,66,100,76,66,61,31,37,1,58,0,100,6,2
0,54,4,100,43,98,36,48,10,6,11,2,56,9,100,0,2
28,72,60,100,88,73,56,37,9,14,0,14,52,0,100,5,2
24,86,57,100,55,72,30,47,0,26,31,9,69,1,100,0,2
9,77,18,100,74,95,66,68,34,43,0,19,37,2,100,0,2
14,69,39,100,53,71,35,33,0,8,28,12,72,0,100,26,2
18,92,66,100,93,81,49,56,0,35,14,16,75,10,100,0,2
